Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02300.h2	1977347	34975	23491	3	AMR	2035812
HG02300.h1	2593658	77634	2267	5	AMR	2673558
HG02492.h2	1644688	70367	19628	4	SAS	1734682
HG02492.h1	2011687	82500	26823	6	SAS	2121009
HG02554.h2	643543	16348	4655	5	AFR	664545
HG02554.h1	1880816	9885	98993	8	AFR	1989693
HG02559.h1	1962693	31524	131540	8	AFR	2125756
HG02587.h2	1569602	96695	3120	5	AFR	1669416
HG02587.h1	2732969	27103	17425	3	AFR	2777496
HG02615.h1	2546183	28635	4632	10	AFR	2579449
HG02622.h2	1455070	58231	4655	5	AFR	1517955
HG02622.h1	2630727	36306	2267	3	AFR	2669299
HG02630.h2	1588697	55339	2267	5	AFR	1646302
HG02630.h1	1541032	35985	39983	3	AFR	1616999
HG02647.h2	1712619	76629	47115	5	AFR	1836362
HG02666.h2	2374325	26416	17425	3	AFR	2418165
HG02666.h1	2527210	69547	11268	9	AFR	2608024
HG02717.h1	1466053	31388	3295	7	AFR	1500735
HG02769.h2	983110	37802	4655	5	AFR	1025566
HG02769.h1	2368801	147749	6538	5	AFR	2523087
HG02809.h2	1547821	59589	2267	5	AFR	1609676
HG02809.h1	2280291	29501	15998	1	AFR	2325789
HG02953.h2	1976305	9882	206858	8	AFR	2193044
HG02953.h1	2507871	32727	4312	2	AFR	2544909
HG03009.h2	1700547	53817	9303	5	SAS	1763666
HG03009.h1	1658525	17555	144569	8	SAS	1820648
HG03065.h2	1959900	15672	136051	8	AFR	2111622
HG03065.h1	2134272	36495	4637	7	AFR	2175403
HG03098.h2	1702176	11923	123653	8	AFR	1837751
HG03248.h1	1987058	82740	3613	5	AFR	2073410
HG03371.h2	1728057	11586	70629	8	AFR	1810271
HG03371.h1	1688527	34078	72580	8	AFR	1795184
HG03452.h2	1539760	21128	10503	7	AFR	1571390
HG03452.h1	2016978	35124	4636	7	AFR	2056737
HG03453.h1	2693402	20765	6178	10	AFR	2720344
HG03456.h2	1538265	42136	61500	3	AFR	1641900
HG03456.h1	1783987	11927	127012	8	AFR	1922925
HG03516.h1	2063528	16694	13856	9	AFR	2094077
HG03520.h2	1453556	60609	4655	5	AFR	1518819
HG03540.h2	1453778	53808	6001	5	AFR	1513586
HG03683.h2	1558944	8012	124028	8	SAS	1690983
HG03683.h1	1532772	54824	4142	5	SAS	1591737
HG03710.h2	2068867	26263	3800	2	SAS	2098929
HG03710.h1	1636516	52090	3799	5	SAS	1692404
HG03732.h2	2300671	76634	4655	5	SAS	2381959
HG03732.h1	1689733	28833	7693	2	SAS	1726258
HG03807.h2	1643245	60956	4141	5	SAS	1708341
HG03807.h1	3044035	23378	14376	1	SAS	3081788
HG03927.h2	1635120	54820	13522	5	SAS	1703461
HG03927.h1	1266910	57950	20476	6	SAS	1345335
HG04036.h1	1688525	17212	136433	8	SAS	1842169
HG04217.h2	2018405	40230	2704	2	SAS	2061338
HG04217.h1	2077077	33756	3397	2	SAS	2114229
HG04228.h2	1305099	62722	20476	6	SAS	1388296
HG04228.h1	2383758	34949	2267	2	SAS	2420973
NA12329.h2	1039278	12441	29269	8	EUR	1080987
NA12329.h1	1474191	48692	6000	5	EUR	1528882
NA18534.h2	2990838	42595	2267	2	EAS	3035699
NA18534.h1	1624119	46490	3295	5	EAS	1673903
NA18906.h2	1046131	7160	47363	8	AFR	1100653
NA18939.h2	929971	11933	3295	5	EAS	945198
NA18939.h1	2135663	176339	2267	5	EAS	2314268
NA18989.h2	1296914	25205	4655	5	EAS	1326773
NA18989.h1	1797443	48380	10897	4	EAS	1856719
NA19036.h2	1822008	101795	5987	5	AFR	1929789
NA19036.h1	2235093	83752	7041	5	AFR	2325885
NA19129.h2	1942071	81389	4654	5	AFR	2028113
NA19129.h1	1481243	4772	86062	8	AFR	1572076
NA19238.h2	1857355	29865	23489	3	AFR	1910708
NA19238.h1	1768510	69123	4654	5	AFR	1842286
NA19239.h2	1442873	31042	3295	7	AFR	1477209
NA19239.h1	1823206	113034	4655	5	AFR	1940894
NA19317.h2	3042568	28979	23485	3	AFR	3095031
NA19317.h1	1112843	47894	20078	6	AFR	1180814
NA19347.h2	1497390	42225	2267	5	AFR	1541881
NA19347.h1	1639242	77974	2267	5	AFR	1719482
NA19384.h1	1928091	56858	4654	5	AFR	1989602
NA19650.h2	1042022	12441	29419	8	AMR	1083881
NA19650.h1	2914402	37004	6407	2	AMR	2957812
NA19705.h2	1731902	32748	3295	7	AFR	1767944
NA19705.h1	2557085	36301	18957	3	AFR	2612342
NA19836.h1	3399854	36995	6917	3	AFR	3443765
NA19983.h2	3709615	38873	6163	2	AFR	3754650
NA19983.h1	1577826	65720	2267	5	AFR	1645812
NA20355.h2	1767359	35136	3295	7	AFR	1805789
NA20355.h1	2385536	36467	84559	8	AFR	2506561
NA20509.h2	2241992	41595	4972	2	EUR	2288558
NA20509.h1	1647598	13637	128892	8	EUR	1790126
NA20847.h2	1215080	24546	2704	2	SAS	1242329
NA21487.h2	2501250	32054	21590	1	AFR	2554893
NA21487.h1	3248741	61324	51776	9	AFR	3361840
