Haplotype	2-mer	4-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02145.h1	474604	1362706	304688	14779	32296	13	AFR	2189072
HG02282.h2	574022	1658579	294600	22771	26739	7	AFR	2576710
HG02282.h1	502771	1555099	301665	23631	29517	8	AFR	2412682
HG02293.h2	478278	1727720	90645	21570	56277	1	AMR	2374489
HG02293.h1	413525	1710722	132370	24149	30448	5	AMR	2311213
HG02300.h2	432615	1525252	64154	12918	48629	1	AMR	2083567
HG02300.h1	446783	1709410	76363	19034	53400	1	AMR	2304989
HG02486.h2	454867	1404186	237425	18516	30563	12	AFR	2145556
HG02492.h2	417026	1424685	87561	7815	45860	1	SAS	1982946
HG02492.h1	569175	2018551	121182	28022	26658	6	SAS	2763587
HG02554.h1	536139	1801227	106876	9516	39239	1	AFR	2492996
HG02559.h2	220823	923025	20390	5775	65343	14	AFR	1235355
HG02572.h2	220130	607642	12236	12754	21930	13	AFR	874691
HG02587.h2	469176	1646244	106898	9860	51396	3	AFR	2283573
HG02587.h1	553720	1638099	275162	20734	26077	7	AFR	2513791
HG02622.h2	292292	1041987	171152	8498	36869	13	AFR	1550797
HG02630.h2	312398	1056267	58052	12048	54070	3	AFR	1492834
HG02630.h1	428884	1565277	87756	6115	31695	11	AFR	2119726
HG02647.h2	317446	1479037	56005	19388	29035	6	AFR	1900910
HG02647.h1	384039	1311077	124461	19038	33274	11	AFR	1871888
HG02666.h2	263310	524753	12232	5101	21930	13	AFR	827325
HG02666.h1	442430	1364063	130598	15135	22797	11	AFR	1975022
HG02769.h2	630911	1824345	24447	26009	38310	9	AFR	2544021
HG02769.h1	386004	1122277	155961	15464	23365	8	AFR	1703070
HG02809.h2	444759	1689599	159117	5947	17727	10	AFR	2317148
HG02809.h1	475897	1486405	181549	8489	24944	10	AFR	2177283
HG02953.h2	462073	1349157	293360	36350	35708	4	AFR	2176647
HG02953.h1	331656	1353288	93662	16824	44261	3	AFR	1839690
HG03009.h2	406948	1183936	229291	20371	26582	12	SAS	1867127
HG03009.h1	407101	1630403	128289	26510	24759	5	SAS	2217061
HG03065.h2	318141	1481751	63123	18025	29056	6	AFR	1910095
HG03065.h1	543898	1528601	335146	32271	35418	4	AFR	2475333
HG03098.h2	242132	956259	131313	12907	35383	4	AFR	1377993
HG03098.h1	227124	1036630	81440	9179	41689	3	AFR	1396061
HG03248.h2	550715	1584822	363632	31415	46694	4	AFR	2577277
HG03248.h1	476371	1413729	298458	34996	43788	4	AFR	2267341
HG03371.h2	494299	1300105	272981	28188	37873	4	AFR	2133445
HG03371.h1	558140	1647636	267020	26173	25040	7	AFR	2524008
HG03452.h2	256412	1132278	17327	5435	31779	14	AFR	1443230
HG03452.h1	382738	1319249	110163	17682	34976	11	AFR	1864807
HG03456.h2	416249	1285251	273985	25823	43761	4	AFR	2045068
HG03456.h1	721308	2287204	37709	47828	40159	9	AFR	3134207
HG03492.h1	465106	1956854	82453	26181	49845	1	SAS	2580438
HG03516.h1	239459	1001160	21411	5775	77025	14	AFR	1344829
HG03683.h2	450934	1738523	115052	24281	35869	6	SAS	2364658
HG03710.h2	417902	1555108	80430	18514	47736	1	SAS	2119689
HG03710.h1	482841	1599975	85523	10357	50973	1	SAS	2229668
HG03732.h2	324329	1488452	81460	17003	36551	6	SAS	1947794
HG03732.h1	476260	1636677	134401	22422	48894	1	SAS	2318653
HG03807.h2	544228	1825013	78429	15622	44960	1	SAS	2508251
HG03807.h1	546641	1875902	87531	16141	97917	1	SAS	2624131
HG03927.h2	229501	1254603	113012	18859	69503	6	SAS	1685477
HG03927.h1	413182	1527257	79418	13077	46224	1	SAS	2079157
HG04036.h2	424114	1247090	244619	9872	19774	8	SAS	1945468
HG04036.h1	414306	1437537	89601	8502	43140	1	SAS	1993085
HG04217.h2	413523	1415113	77354	11891	50572	1	SAS	1968452
HG04217.h1	363337	1517044	69229	23091	50850	6	SAS	2023550
HG04228.h2	470001	1820246	98762	26839	37874	6	SAS	2453721
HG04228.h1	362920	1417859	31573	15125	59333	1	SAS	1886809
NA12329.h2	384700	1500752	102845	25993	30201	5	EUR	2044490
NA12329.h1	417954	1640669	157815	23963	27504	5	EUR	2267904
NA18534.h2	657478	2028246	77375	18005	57978	1	EAS	2839081
NA18906.h2	326378	826542	25506	23802	22106	13	AFR	1224333
NA18906.h1	349038	1214603	55010	15958	56473	3	AFR	1691081
NA18989.h2	443818	1742604	126269	24120	36512	6	EAS	2373322
NA18989.h1	295314	1194209	100782	16647	43433	2	EAS	1650384
NA19036.h2	474221	1514936	169322	7133	24943	10	AFR	2190554
NA19036.h1	480794	1365449	337124	27845	38414	4	AFR	2249625
NA19129.h2	412958	1371515	103045	15809	22911	11	AFR	1926237
NA19129.h1	356261	2330007	59107	1697	21903	15	AFR	2768974
NA19238.h2	417942	1519796	82459	14940	59442	3	AFR	2094578
NA19238.h1	1067600	2938906	48903	62104	44799	9	AFR	4162311
NA19239.h2	439283	1029692	259779	22590	39409	4	AFR	1790752
NA19239.h1	516040	1491936	350435	33974	41069	4	AFR	2433453
NA19317.h2	362354	2448983	58086	1697	21899	15	AFR	2893018
NA19317.h1	458125	1697888	103830	25828	26647	6	AFR	2312317
NA19331.h1	405342	1311331	253850	21257	36894	8	AFR	2028673
NA19347.h2	594097	1654424	296593	17334	28865	7	AFR	2591312
NA19384.h2	460733	1400106	317764	27677	38411	4	AFR	2244690
NA19384.h1	429158	1351192	166285	22784	32316	11	AFR	2001734
NA19705.h2	426449	1294778	298393	24957	37056	4	AFR	2081632
NA19705.h1	359170	1420701	86536	14624	45728	3	AFR	1926758
NA19836.h2	571070	1371474	383311	21435	23073	8	AFR	2370362
NA19836.h1	479665	1742697	107904	20870	55176	3	AFR	2406311
NA19983.h2	447064	1488480	159102	2206	26241	10	AFR	2123092
NA19983.h1	507583	1571484	250716	22095	24364	7	AFR	2376241
NA20355.h2	547606	1677332	141757	15959	42364	11	AFR	2425017
NA20355.h1	559999	1884047	231537	16330	27539	11	AFR	2719451
NA20509.h2	360242	1343863	40750	20375	51249	1	EUR	1816478
NA20509.h1	234531	1018843	82479	7823	57289	1	EUR	1400964
NA20847.h2	434566	1492640	84524	11553	55054	1	SAS	2078336
NA20847.h1	465592	1759066	101816	26503	43417	6	SAS	2396393
