Haplotype	8-mer	10-mer	12-mer	14-mer	16-mer	18-mer	20-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02011.h2	655066	912163	880835	854095	946244	318083	295688	242992	765459	182219	3	AFR	6052843
HG02011.h1	331656	567541	695435	692381	546552	241630	210764	213113	583107	57671	2	AFR	4139849
HG02018.h2	225610	474081	846340	587686	456818	177429	169919	142082	501985	60914	9	EAS	3642863
HG02055.h2	341144	472281	599479	480603	435095	229393	132558	153304	318081	26773	14	AFR	3188710
HG02059.h2	447080	774658	811502	589994	644399	284482	217502	130843	514550	26726	14	EAS	4441735
HG02071.h2	271772	433302	872788	601942	579167	211092	186942	115918	470853	31303	9	EAS	3775078
HG02071.h1	366849	540285	762580	630496	560120	177428	180133	168234	440695	80248	8	EAS	3907067
HG02080.h2	308425	504598	721763	594747	527436	180468	122341	201874	445924	66121	8	EAS	3673696
HG02106.h2	286665	390802	793269	459150	429595	198852	135941	134613	380974	35930	9	AMR	3245790
HG02109.h2	225581	572414	611687	842150	464917	501551	207330	160779	436565	356774	11	AFR	4379747
HG02145.h2	640029	779655	752283	597068	693311	244656	214134	171936	616957	138360	4	AFR	4848388
HG02257.h2	299030	616762	656631	647102	590077	308917	254900	164540	479678	75045	2	AFR	4092681
HG02257.h1	563949	1075299	813341	668263	614354	318042	180091	86024	505826	93982	5	AFR	4919170
HG02282.h2	398238	699906	703422	447235	407861	217154	207251	149538	512718	59142	13	AFR	3802464
HG02282.h1	679495	893653	833870	789876	935377	266045	217535	205643	663503	168170	4	AFR	5653166
HG02300.h2	264971	458793	827960	516274	511159	168272	132550	115911	425846	46157	9	AMR	3467892
HG02300.h1	407746	599712	897165	597122	571056	281429	166484	194450	401349	43623	14	AMR	4160135
HG02492.h2	273161	516583	997243	628150	641669	180491	176731	168262	446858	38156	9	SAS	4067303
HG02492.h1	745958	925725	1021426	861129	908175	305807	265098	213072	764287	210095	4	SAS	6220771
HG02554.h1	252819	451982	524133	502050	424194	201873	166581	183195	501029	56742	2	AFR	3264597
HG02559.h2	309810	455353	632079	556715	521963	174293	139326	119607	393577	45345	8	AFR	3348067
HG02559.h1	667229	796664	941973	735062	570986	269104	159717	168229	647645	120599	7	AFR	5077207
HG02572.h2	562580	798420	717691	625677	560113	174339	166494	190624	625457	70975	4	AFR	4492369
HG02572.h1	411683	925737	948057	1032413	598129	559725	285509	172008	657955	420276	11	AFR	6011491
HG02615.h2	364232	499418	731983	568588	386092	247813	180129	142103	371439	46353	14	AFR	3538149
HG02615.h1	298931	496148	858526	706634	766754	315073	166556	153314	535292	58070	10	AFR	4355297
HG02622.h2	160365	229359	291615	242694	203924	100957	81582	112190	219759	32059	2	AFR	1674503
HG02622.h1	591174	803496	748278	735111	693346	275227	234523	183179	546771	140432	3	AFR	4951536
HG02630.h2	562447	925840	842010	670795	508459	287521	224301	97213	454839	117687	5	AFR	4691111
HG02647.h2	496054	677760	713651	654234	579126	272230	193707	190647	637438	164748	7	AFR	4579594
HG02647.h1	360202	575895	621857	394941	473169	186603	132524	97221	377405	48444	13	AFR	3268260
HG02666.h2	317950	565833	899256	706662	750330	256932	227695	149568	527591	44106	10	AFR	4445922
HG02666.h1	301766	574279	670871	606688	560145	290586	261708	168278	454006	81407	2	AFR	3969733
HG02717.h1	576251	737240	748301	739847	709645	238580	220917	183136	520500	128008	3	AFR	4802424
HG02769.h2	419970	689734	738063	485331	508440	278323	227616	112166	499584	64010	13	AFR	4023236
HG02769.h1	297656	502927	711646	518691	489458	275316	156330	82263	410901	55377	12	AFR	3500564
HG02809.h2	283941	647145	605562	863475	481178	418985	234521	145823	452976	51881	11	AFR	4185486
HG02809.h1	339791	604826	793237	611504	576465	189697	186925	134613	460191	64802	12	AFR	3962050
HG02886.h2	360209	662526	632078	440097	448653	214164	176720	97211	352575	60293	13	AFR	3444525
HG02886.h1	237791	584323	625982	851669	546470	437338	237929	172016	388337	363562	11	AFR	4445416
HG03009.h1	224241	348319	726017	409254	405096	168233	156337	89751	404426	22868	9	SAS	2954541
HG03065.h2	379124	575943	801395	625694	494794	263045	227686	108404	483078	50359	10	AFR	4009521
HG03098.h2	338456	640568	628064	675698	418773	247721	193727	183238	375706	88529	2	AFR	3790479
HG03098.h1	665879	845923	958225	746954	587278	253802	159722	175704	687943	135926	7	AFR	5217355
HG03248.h2	594015	830750	899305	839811	832122	266089	258351	186942	711240	164842	7	AFR	5583466
HG03248.h1	377878	606500	658573	471073	503105	244749	203873	142099	363674	34646	13	AFR	3606169
HG03371.h2	626476	946185	937971	830308	1014235	366982	316117	287881	773621	175783	4	AFR	6275558
HG03452.h2	260969	451882	526078	361611	318080	189637	152897	108411	357513	44848	13	AFR	2771925
HG03452.h1	720280	973371	880784	896947	984371	293592	288905	231761	729174	144550	3	AFR	6143734
HG03456.h2	320690	422947	454524	390078	309891	204865	149549	93445	667565	93029	7	AFR	3106582
HG03456.h1	463466	720318	799302	573382	513916	324256	264983	149552	529146	50727	13	AFR	4389047
HG03520.h2	318063	589591	587264	618601	416060	223269	169955	172005	375850	89047	2	AFR	3559704
HG03520.h1	337091	514716	552511	375902	465034	195796	159730	127123	392706	55715	13	AFR	3176323
HG03540.h2	158983	524811	493403	849319	443141	504603	197127	153299	314029	34499	11	AFR	3673213
HG03540.h1	699912	907091	813524	804113	788535	284405	271889	168186	587237	141006	3	AFR	5465897
HG03579.h2	300298	560748	901287	716163	725863	241626	183529	157038	509768	52594	10	AFR	4348913
HG03579.h1	309821	411048	458610	392421	301738	192637	163149	100914	635559	87590	7	AFR	3053486
HG03683.h2	384479	696699	927855	899446	940827	275328	200510	213116	618543	77863	8	SAS	5234665
HG03683.h1	255487	475683	379302	366369	633593	177368	207340	145737	394210	73850	1	SAS	3108938
HG03710.h2	305634	506388	709646	537650	562766	189634	197096	127124	423620	63570	8	SAS	3623127
HG03710.h1	258146	511440	872847	644828	687946	269248	186939	145824	493154	89356	9	SAS	4159727
HG03732.h2	449793	660879	619835	594776	687936	168207	231133	201900	578576	94971	4	SAS	4288005
HG03732.h1	289449	484253	756572	485358	519257	198785	132544	130830	424157	51178	8	SAS	3472382
HG03807.h2	490688	778055	744254	485310	734189	214106	227738	168229	509445	100979	1	SAS	4452992
HG03807.h1	254101	504676	1031850	644821	677033	299820	217512	175751	475471	55807	9	SAS	4336841
HG03927.h2	464695	608055	546357	435314	486634	198752	129151	89707	452628	125123	4	SAS	3536415
HG03927.h1	407615	739144	917612	966055	880980	260030	220905	235555	615497	69084	8	SAS	5312476
HG04036.h2	419881	640408	601498	554259	671614	226333	248094	194362	576718	89311	1	SAS	4222477
HG04036.h1	221442	528447	909498	621020	649833	235591	200509	175757	440809	57123	9	SAS	4040028
HG04217.h2	270475	440087	874834	535364	633518	253909	190330	164550	493570	22526	9	SAS	3879162
HG04217.h1	342384	543634	789095	525796	638924	281400	129132	164505	486890	71858	8	SAS	3973617
HG04228.h1	457960	728775	644265	635309	704240	214096	197133	242957	592016	111343	4	SAS	4528093
NA12329.h2	622420	898679	848122	732775	834797	266042	207362	205630	675068	187704	4	EUR	5478598
NA12329.h1	549010	835782	760472	680401	712427	275246	237932	235529	683215	177848	4	EUR	5147861
NA18534.h2	428131	676144	679011	571019	807590	232473	288919	224318	626870	106598	1	EAS	4641072
NA18534.h1	423971	594541	548458	473384	712286	220185	210737	201782	425450	108044	1	EAS	3918837
NA18906.h2	418631	764670	901417	806553	636336	367070	305928	385189	759969	65665	2	AFR	5411427
NA18939.h2	405015	652351	727986	601836	910867	263015	254888	216752	596317	71230	1	EAS	4700256
NA18939.h1	381918	606483	681087	585260	766811	232435	224309	205616	607822	93885	1	EAS	4385625
NA18989.h2	365472	535211	748367	654245	606275	174316	176717	168249	425733	58826	8	EAS	3913410
NA18989.h1	419904	591150	521939	485273	606273	207961	197125	171927	396576	106717	1	EAS	3704844
NA19036.h2	388769	664349	807552	758995	609098	299720	193745	209383	578993	98192	2	AFR	4608795
NA19036.h1	591119	1133027	786874	708707	614362	354741	169902	130863	488938	108149	5	AFR	5086681
NA19238.h2	237804	572425	630035	823133	437726	489322	210740	183214	442181	344639	11	AFR	4371218
NA19238.h1	388659	608187	507733	482976	481353	180440	166547	67304	537308	88498	7	AFR	3509004
NA19239.h2	664592	840829	799264	744595	633540	296647	241292	164487	611730	145706	3	AFR	5142681
NA19239.h1	570876	742331	842158	649482	766831	217143	210763	145823	706903	181103	7	AFR	5033412
NA19317.h2	216053	577515	540336	806459	464891	474045	186944	164505	395134	351380	11	AFR	4177261
NA19317.h1	644204	786444	748275	768413	734160	256901	197139	168213	533193	148688	3	AFR	4985629
NA19331.h2	580253	849394	733995	644698	633538	189648	183513	231739	562098	75610	4	AFR	4684485
NA19331.h1	679544	981843	944101	951653	1003426	357821	292328	235511	737108	191320	3	AFR	6374654
NA19347.h2	366918	569169	760601	611412	511089	244721	227690	100943	458244	48419	10	AFR	3899205
NA19384.h1	354773	679583	915551	647229	622663	198845	214092	186955	580006	66175	12	AFR	4465871
NA19650.h2	243210	570924	1054302	675773	633562	287606	210714	190714	552625	93644	9	AMR	4513073
NA19650.h1	324858	475693	456812	423486	590133	189638	163154	127095	419060	45506	1	AMR	3215434
NA19705.h2	372444	606509	658542	511527	516681	241688	197074	153298	402427	34646	13	AFR	3694835
NA19705.h1	328883	487631	662698	442545	445946	168229	146120	63565	408327	91914	12	AFR	3245857
NA19983.h2	633262	890137	811475	699443	764027	232479	207300	216805	770076	150870	4	AFR	5375873
NA19983.h1	459253	951154	1070433	1234636	690602	755432	316087	209395	704863	434789	11	AFR	6826643
NA20355.h2	467394	1020816	978669	1156160	725901	630051	316087	190721	668959	390734	11	AFR	6545491
NA20355.h1	333024	647355	689286	659003	655371	311985	288894	164549	506993	73449	2	AFR	4329908
NA20509.h2	596596	766266	731944	642422	802186	266055	207330	205584	626511	148802	4	EUR	4993695
NA20509.h1	612895	879997	835922	699444	832076	241598	183558	198169	685417	170742	4	EUR	5339817
NA20847.h2	229671	406142	1046188	604326	524729	192746	210726	160775	398125	37398	9	SAS	3810825
NA21487.h2	278584	487657	829970	675726	633491	278379	186938	130890	484639	50519	10	AFR	4036792
