Haplotype	5-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG01891.h2	2717368	12240	6132	100753	3	AFR	2836492
HG01928.h2	2592178	4080	8510	131337	3	AMR	2736104
HG01952.h1	2680582	5101	5616	123645	3	AMR	2814943
HG01978.h2	5781029	594389	32151	44696	7	AMR	6452264
HG01978.h1	3507499	2034	9191	71910	10	AMR	3590633
HG02011.h2	2496028	5094	28743	68008	11	AFR	2597872
HG02011.h1	3262813	3059	9176	115270	3	AFR	3390317
HG02018.h2	3694357	1017	30085	88826	12	EAS	3814284
HG02018.h1	3354497	1020	20060	97960	12	EAS	3473536
HG02055.h1	2553813	7131	30787	78246	11	AFR	2669976
HG02059.h2	4280994	1018	8828	210237	1	EAS	4501076
HG02059.h1	3606100	1018	11877	164586	1	EAS	3783580
HG02071.h2	2502960	2042	1871	125699	3	EAS	2632571
HG02071.h1	3488055	1018	12734	215795	1	EAS	3717601
HG02106.h2	2590494	5101	9529	126521	3	AMR	2731644
HG02106.h1	5035808	397262	16091	35190	7	AMR	5484350
HG02109.h2	2639701	0	7656	86555	10	AFR	2733911
HG02145.h1	2079567	0	3066	35249	16	AFR	2117881
HG02148.h1	2624512	5101	6977	127741	3	AMR	2764330
HG02257.h2	2527617	2042	4928	141580	3	AFR	2676166
HG02257.h1	3054473	5097	5273	129312	2	AFR	3194154
HG02282.h2	2368629	0	47159	108210	9	AFR	2523997
HG02282.h1	2729793	1017	5443	84165	10	AFR	2820417
HG02293.h1	2347363	0	1361	137473	3	AMR	2486196
HG02300.h1	2571804	3063	7315	117509	3	AMR	2699690
HG02486.h2	2805403	0	32519	96256	9	AFR	2934177
HG02486.h1	3695318	6122	4587	99361	4	AFR	3805387
HG02492.h2	2448618	5101	1361	94879	3	SAS	2549958
HG02492.h1	3849983	3051	11065	84197	10	SAS	3948295
HG02554.h1	3747792	3051	7662	145752	15	AFR	3904256
HG02559.h2	1705796	0	1361	113344	3	AFR	1820500
HG02559.h1	2483278	5094	29425	68008	11	AFR	2585804
HG02572.h2	3268368	0	11916	130322	13	AFR	3410605
HG02572.h1	1079316	0	1361	149902	3	AFR	1230578
HG02587.h2	2880226	5097	8668	211138	2	AFR	3105128
HG02587.h1	3441609	224529	11360	228255	6	AFR	3905752
HG02615.h2	3232102	1017	15666	87232	10	AFR	3336016
HG02615.h1	3838702	0	39483	49149	8	AFR	3927333
HG02622.h2	3930793	12232	8676	225415	16	AFR	4177115
HG02630.h2	3675712	7135	11057	138811	2	AFR	3832714
HG02630.h1	5402747	9189	11539	186740	5	AFR	5610214
HG02647.h1	3996208	10198	10214	214981	16	AFR	4231600
HG02666.h2	3401170	0	44779	82460	9	AFR	3528408
HG02666.h1	2825815	0	33542	88060	9	AFR	2947416
HG02717.h2	3997568	210308	10866	117213	6	AFR	4335954
HG02717.h1	3329678	0	33698	50124	8	AFR	3413499
HG02723.h1	3430073	0	46141	85868	9	AFR	3562081
HG02769.h2	2815468	2034	31479	49045	8	AFR	2898025
HG02769.h1	3379977	7135	8671	124514	2	AFR	3520296
HG02809.h2	1377719	0	1699	107528	3	AFR	1486945
HG02809.h1	3717855	1017	5105	193669	15	AFR	3917645
HG02886.h2	3327268	1017	14133	81236	10	AFR	3423653
HG02886.h1	2990706	0	27408	95396	9	AFR	3113509
HG02953.h2	3811550	1017	3066	168422	15	AFR	3984054
HG02953.h1	3748100	5105	10717	85586	4	AFR	3849507
HG03009.h2	3622120	0	32468	81832	12	SAS	3736419
HG03065.h2	2491809	0	40690	129853	9	AFR	2662351
HG03065.h1	3105300	2034	30784	47571	8	AFR	3185688
HG03098.h1	2525828	0	6132	170723	14	AFR	2702682
HG03248.h2	3612874	9177	9696	152219	2	AFR	3783965
HG03248.h1	2755305	0	16855	99484	9	AFR	2871643
HG03371.h2	3226162	1017	16175	90296	10	AFR	3333649
HG03371.h1	5681424	11225	8481	194936	5	AFR	5896065
HG03452.h2	3596648	0	49542	85868	9	AFR	3732057
HG03452.h1	3294010	1017	29417	39008	8	AFR	3363451
HG03453.h1	4500174	7147	8831	166102	5	AFR	4682253
HG03456.h2	3220183	0	43417	130180	9	AFR	3393779
HG03456.h1	3321059	0	14640	134827	13	AFR	3470525
HG03492.h2	3597704	1017	11885	146874	1	SAS	3757479
HG03516.h1	2935415	0	46821	67607	9	AFR	3049842
HG03520.h2	3188856	3059	9176	115127	3	AFR	3316217
HG03520.h1	3324382	219447	14603	106838	6	AFR	3665269
HG03540.h2	2785076	5097	5273	111263	2	AFR	2906708
HG03579.h1	4401566	8164	9175	178013	5	AFR	4596917
HG03683.h2	5113137	446009	23048	34365	7	SAS	5616558
HG03683.h1	2670350	3062	6125	137178	3	SAS	2816714
HG03710.h2	2467288	2042	1871	128840	3	SAS	2600040
HG03710.h1	3067372	1018	6114	146444	1	SAS	3220947
HG03807.h2	3586644	481604	18787	34753	7	SAS	4121787
HG03807.h1	4359108	1017	12256	102829	10	SAS	4475209
HG03927.h2	5040091	360692	12066	87179	7	SAS	5500027
HG03927.h1	2758735	2042	4592	143666	3	SAS	2909034
HG04036.h2	2807211	2042	6125	133300	3	SAS	2948677
HG04036.h1	4912576	408412	28812	40117	7	SAS	5389916
HG04228.h2	3386707	3062	3230	138137	3	SAS	3531135
HG04228.h1	2398403	3063	4593	323932	3	SAS	2729990
NA12329.h2	2262372	4084	1871	112027	3	EUR	2380353
NA12329.h1	3229721	3052	11377	140806	1	EUR	3384955
NA18534.h2	3245626	3054	20564	87463	12	EAS	3356706
NA18906.h2	2780781	0	2213	102418	10	AFR	2885411
NA18906.h1	2578584	0	4764	109144	1	AFR	2692491
NA18939.h2	2242896	3063	4427	123951	3	EAS	2374336
NA18989.h2	2809778	4084	3570	110151	3	EAS	2927582
NA18989.h1	2469787	4083	2722	143588	3	EAS	2620179
NA19036.h2	2451068	0	48864	115554	9	AFR	2615485
NA19036.h1	3381472	182880	15435	146229	6	AFR	3726015
NA19129.h2	3824522	5105	5950	101400	4	AFR	3936976
NA19129.h1	4004632	10198	10717	148223	2	AFR	4173769
NA19238.h2	1335228	0	1361	108359	3	AFR	1444947
NA19238.h1	3085934	0	5960	187058	14	AFR	3278951
NA19239.h2	2609949	7131	29595	80293	11	AFR	2726967
NA19239.h1	3708758	0	34394	90439	9	AFR	3833590
NA19317.h2	2377995	0	27416	97469	9	AFR	2502879
NA19317.h1	5261258	0	22129	122592	13	AFR	5405978
NA19331.h2	4208113	0	8323	193396	16	AFR	4409831
NA19331.h1	3167510	1017	17199	101035	10	AFR	3286760
NA19347.h2	3642608	1017	15666	103411	10	AFR	3762701
NA19347.h1	3616143	0	32009	90439	9	AFR	3738590
NA19384.h2	4504418	1017	3065	197869	16	AFR	4706368
NA19650.h2	3162556	1018	10189	111752	1	AMR	3285514
NA19650.h1	2576012	0	5097	127433	3	AMR	2708541
NA19705.h2	2896973	0	10042	130677	13	AFR	3037691
NA19705.h1	4490211	4065	6464	70550	16	AFR	4571289
NA19836.h2	3936310	237741	12893	111074	6	AFR	4298017
NA19836.h1	2975896	2034	1871	175140	16	AFR	3154940
NA19983.h2	2462091	0	27413	101077	9	AFR	2590580
NA19983.h1	2916740	0	30988	92157	9	AFR	3039884
NA20129.h2	2053081	0	6280	57256	14	AFR	2116616
NA20129.h1	3338308	5100	8677	96040	4	AFR	3448124
NA20509.h2	2601553	4084	1871	134178	3	EUR	2741685
NA20509.h1	3551853	5096	11368	222228	1	EUR	3790544
NA20847.h2	6362316	504891	25067	33528	7	SAS	6925801
NA20847.h1	3674837	7142	4591	123638	3	SAS	3810207
