Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02554.h2	3063039	63621	33735	10	AFR	3160394
HG02554.h1	2576099	68330	19424	12	AFR	2663852
HG02559.h2	1721524	39521	6358	3	AFR	1767402
HG02559.h1	2116451	66152	39367	7	AFR	2221969
HG02572.h2	2699169	21122	24002	5	AFR	2744292
HG02587.h2	1974588	42315	34279	8	AFR	2051181
HG02587.h1	1719526	12944	41320	7	AFR	1773789
HG02615.h2	3086522	40236	38125	8	AFR	3164882
HG02622.h2	3162597	67182	33677	10	AFR	3263455
HG02622.h1	3056503	80933	17019	3	AFR	3154454
HG02630.h1	3941724	59072	43861	8	AFR	4044656
HG02647.h1	3367668	122292	16176	2	AFR	3506135
HG02666.h2	2993142	73472	39435	8	AFR	3106048
HG02769.h2	1371289	31686	4997	3	AFR	1407971
HG02769.h1	2473288	94225	11092	3	AFR	2578604
HG02809.h2	2828904	75321	18488	3	AFR	2922712
HG02809.h1	2918730	16013	15149	5	AFR	2949891
HG02886.h1	2196040	60312	9722	3	AFR	2266073
HG02953.h2	2130013	64578	29620	3	AFR	2224210
HG02953.h1	3437923	67478	34024	3	AFR	3539424
HG03009.h2	2303360	42792	9372	11	SAS	2355523
HG03009.h1	1956808	86922	21126	9	SAS	2064855
HG03065.h2	2411049	44997	12436	12	AFR	2468481
HG03065.h1	1770775	85512	10100	6	AFR	1866386
HG03098.h2	2494543	36843	13065	8	AFR	2544450
HG03098.h1	1797362	7843	41563	7	AFR	1846767
HG03248.h2	2272665	6491	9025	7	AFR	2288180
HG03248.h1	2361438	62699	5890	3	AFR	2430026
HG03371.h2	2334316	76973	7654	2	AFR	2418942
HG03371.h1	1945646	19458	31996	7	AFR	1997099
HG03452.h2	3236285	73314	44856	10	AFR	3354454
HG03452.h1	834103	9216	6302	7	AFR	849620
HG03453.h1	3123607	86414	18497	3	AFR	3228517
HG03456.h2	2212614	8877	17873	7	AFR	2239363
HG03456.h1	2284254	41591	9634	12	AFR	2335478
HG03486.h1	3424413	44028	37376	8	AFR	3505816
HG03492.h1	1722455	33396	3590	4	SAS	1759440
HG03520.h2	2696982	101499	12425	2	AFR	2810905
HG03520.h1	2211318	44653	34283	3	AFR	2290253
HG03683.h2	2034400	56097	24234	9	SAS	2114730
HG03683.h1	3932926	47891	34209	13	SAS	4015025
HG03710.h2	3574747	100236	28023	1	SAS	3703005
HG03732.h2	3367158	70557	24994	13	SAS	3462708
HG03732.h1	3649679	61169	4848	4	SAS	3715695
HG03807.h2	3598742	51312	27331	13	SAS	3677384
HG03927.h2	2309743	97325	19591	9	SAS	2426658
HG03927.h1	3133952	44652	26204	13	SAS	3204807
HG04217.h2	4436321	111968	37736	1	SAS	4586024
HG04228.h2	2349000	25563	6983	5	SAS	2381545
HG04228.h1	2969444	26744	30476	5	SAS	3026663
NA12329.h2	3582509	56061	20675	13	EUR	3659244
NA12329.h1	2877409	73974	16339	13	EUR	2967721
NA18534.h2	3764153	40373	15759	4	EAS	3820284
NA18534.h1	2776503	38189	12344	13	EAS	2827035
NA18906.h1	3122393	115048	21905	8	AFR	3259345
NA18939.h2	2240182	102772	19316	9	EAS	2362269
NA18939.h1	3182606	165130	36957	9	EAS	3384692
NA18989.h2	2691746	175859	32565	9	EAS	2900169
NA18989.h1	2695828	148592	20939	9	EAS	2865358
NA19036.h2	2035344	8196	17873	7	AFR	2061412
NA19036.h1	2554193	60839	9976	12	AFR	2625007
NA19129.h2	2008257	7172	20596	7	AFR	2036024
NA19129.h1	3016379	46088	15110	8	AFR	3077576
NA19238.h2	2845423	55563	21572	3	AFR	2922557
NA19239.h2	2463338	130143	15510	6	AFR	2608990
NA19239.h1	2825557	62544	9976	12	AFR	2898076
NA19317.h2	2007224	10387	92612	7	AFR	2110222
NA19317.h1	3074153	33399	21952	5	AFR	3129503
NA19347.h2	1816063	40913	23844	3	AFR	1880819
NA19347.h1	3825292	130123	14351	2	AFR	3969765
NA19384.h2	3393319	113814	46618	2	AFR	3553750
NA19650.h2	2469173	87786	25976	9	AMR	2582934
NA19650.h1	2274420	108231	19317	9	AMR	2401967
NA19705.h2	1559414	12788	39514	7	AFR	1611715
NA19705.h1	3140008	89818	18496	3	AFR	3248321
NA19836.h2	2566033	94898	11092	3	AFR	2672022
NA19836.h1	1270630	30354	30983	8	AFR	1331966
NA19983.h2	2973712	85725	18496	3	AFR	3077932
NA19983.h1	843743	9900	6302	7	AFR	859944
NA20355.h2	1625552	53687	7204	1	AFR	1686442
NA20355.h1	3117589	62414	45867	10	AFR	3225869
NA20509.h2	2785197	70394	13736	1	EUR	2869326
NA20509.h1	2491334	50105	15165	13	EUR	2556603
NA20847.h2	2359875	22493	10899	5	SAS	2393266
NA20847.h1	2694420	139062	21509	9	SAS	2854990
NA21309.h2	1359492	13805	7037	8	AFR	1380333
NA21487.h2	2195655	63760	14321	8	AFR	2273735
