Haplotype	4-mer	7-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
NA19317.h1	1225221	1358595	79999	27737	7	AFR	2691551
NA19331.h2	1222463	1210788	79729	32514	5	AFR	2545493
NA19347.h2	1212228	1250079	77833	33358	5	AFR	2573497
NA19384.h2	917876	1158319	60491	21859	2	AFR	2158544
NA19384.h1	804291	936640	64696	57017	9	AFR	1862643
NA19650.h2	1128647	1215598	49727	38447	4	AMR	2432418
NA19650.h1	1534571	1583897	140697	62063	8	AMR	3321227
NA19705.h2	840285	1072457	159703	41009	4	AFR	2113453
NA19705.h1	700253	842491	52258	42719	9	AFR	1637720
NA19983.h2	2371693	2442015	113049	36409	7	AFR	4963165
NA19983.h1	832914	1036887	44717	9717	3	AFR	1924234
NA20129.h2	1387020	1545661	167166	61200	4	AFR	3161046
NA20355.h2	1203432	1204890	86453	107879	12	AFR	2602653
NA20509.h2	845792	929507	90596	38636	4	EUR	1904530
NA20509.h1	1374803	1458765	68090	59552	6	EUR	2961209
NA20847.h2	1807194	1960453	135028	44913	8	SAS	3947587
NA20847.h1	1591601	1823309	98957	34206	8	SAS	3548072
NA21309.h1	1023991	1308454	57149	19632	2	AFR	2409225
NA21487.h2	1294584	1389578	115240	45978	4	AFR	2845379
