Haplotype	1-mer	3-mer	11-mer	12-mer	13-mer	15-mer	16-mer	17-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG03456.h1	67008	658036	384719	0	2883413	221676	32586	17308	126005	29899	1	AFR	4420649
HG03520.h1	103446	413073	485360	4076	1761450	242035	19010	14430	102354	52873	1	AFR	3198106
HG03683.h2	112331	450550	487208	12244	1949557	191121	10865	5777	154155	23870	1	SAS	3397677
HG03683.h1	77453	55277	311613	38674	1556524	264922	507881	8650	56473	21378	2	SAS	2898844
HG03732.h2	86854	710744	416322	4076	3104678	208929	10865	17318	147192	31676	1	SAS	4738653
HG03807.h2	72487	62316	291102	101768	1398008	295519	668118	5768	71221	21376	2	SAS	2987682
HG03807.h1	16752	57767	69046	87523	1150794	315742	814707	244683	328342	13194	4	SAS	3098549
HG04036.h2	94550	523486	438688	4076	2274803	206372	13580	8657	123244	25235	1	SAS	3712690
HG04036.h1	91985	464064	410663	4076	2046941	231868	13572	5762	119296	31940	1	SAS	3420166
HG04217.h2	75060	76370	296721	46813	1455501	198717	1007576	17308	66754	8537	3	SAS	3249356
HG04217.h1	90962	463837	451793	4076	1980532	168158	10866	11549	98810	29826	1	SAS	3310408
HG04228.h1	98132	579724	481658	4076	2513869	254812	8148	11549	127044	26433	1	SAS	4105444
NA12329.h1	111638	656957	490915	8161	2867914	193648	13578	8653	110287	16832	1	EUR	4478582
NA18534.h2	76938	58800	309751	113975	1950981	280223	608359	8651	51581	15545	2	EAS	3474803
NA18534.h1	75569	560587	362178	8156	2474036	203854	10869	11549	120331	23885	1	EAS	3851013
NA18989.h2	72835	55241	272430	105830	1884703	287872	717003	8651	73455	19508	2	EAS	3497527
NA18989.h1	124795	690713	584354	8159	2982979	254801	21735	23084	123183	39544	1	EAS	4853346
NA19036.h2	45484	51257	179136	87525	1463511	369250	695241	230231	335392	16021	4	AFR	3473047
NA19036.h1	89933	348660	425652	4076	1469382	196192	10864	11549	133379	44975	1	AFR	2734661
NA19129.h2	126022	43207	472115	91587	899711	394807	567467	241981	192664	35869	4	AFR	3065429
NA19238.h2	174915	17101	660527	50878	859555	313393	2245989	49030	102017	21287	5	AFR	4494691
NA19238.h1	119863	38183	444112	10188	577629	343933	858203	187402	132594	38375	4	AFR	2750481
NA19239.h1	121399	47731	483334	63097	974673	305666	556666	198596	194269	27258	4	AFR	2972688
NA19317.h2	102754	528757	433059	0	2314567	254879	46168	17302	127413	31392	1	AFR	3856290
NA19317.h1	105482	100061	410598	57014	949356	568071	869103	80751	60373	27424	3	AFR	3228232
NA19331.h2	106341	661796	477921	2042	2927579	219123	8147	11537	108551	40519	1	AFR	4563555
NA19347.h2	103267	525245	434925	0	2307931	254879	46168	17302	130088	31387	1	AFR	3851191
NA19347.h1	70959	51840	285533	138412	1168604	305743	1624085	20184	69889	38742	3	AFR	3773990
NA19650.h2	84805	540060	418194	4076	2367829	214026	10864	11549	121922	37024	1	AMR	3810348
NA19650.h1	98143	523414	449905	4076	2285948	185993	10866	11548	121035	30693	1	AMR	3721620
NA19705.h2	92158	361414	376998	0	1663925	45830	2715	0	66507	3515	3	AFR	2613061
NA19705.h1	91820	308553	431254	2038	1296751	214036	16297	11545	130998	43504	1	AFR	2546795
NA19836.h2	117474	10546	438512	32563	989151	214029	491578	135421	139304	24202	4	AFR	2592779
NA19983.h2	95412	484577	390166	4080	2126652	196178	29877	34620	109418	25894	1	AFR	3496873
NA19983.h1	117628	524690	696664	8155	2068973	214004	24445	11535	189837	35337	1	AFR	3891267
NA20355.h2	65828	34758	255664	270652	1183732	310817	763167	5767	69108	35591	3	AFR	2995083
NA20509.h2	95237	482697	393795	8158	2122201	157997	2714	2892	102737	25539	1	EUR	3393966
NA20509.h1	44787	783170	190356	24482	3541098	155431	529636	40376	117341	30540	3	EUR	5457216
NA20847.h2	513	473648	119691	2038	2033737	170700	13580	17315	117692	31254	1	SAS	2980167
NA20847.h1	96421	775017	479849	8159	3385646	267503	13579	23083	124968	39856	1	SAS	5214080
NA21487.h2	81198	135060	315332	65241	906371	422888	553995	17304	125964	10565	3	AFR	2633917
NA21487.h1	94213	421098	435031	2038	1796909	196174	24443	23086	101757	30652	1	AFR	3125400
