Haplotype	12-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG03009.h2	3525226	67782	32762	2	SAS	3625769
HG03065.h2	2299478	9588	17131	4	AFR	2326196
HG03098.h2	1515805	38774	26612	1	AFR	1581190
HG03248.h2	2934926	69483	92252	1	AFR	3096660
HG03371.h2	3403788	83479	18871	4	AFR	3506137
HG03452.h2	2418716	48005	52493	1	AFR	2519213
HG03452.h1	2951508	39175	25251	4	AFR	3015933
HG03453.h1	2548352	27737	19482	4	AFR	2595570
HG03456.h2	2515385	42548	55168	1	AFR	2613100
HG03516.h2	1735929	15077	20991	4	AFR	1771996
HG03516.h1	2632581	47343	46187	1	AFR	2726110
HG03520.h2	1873654	79129	43986	1	AFR	1996768
HG03520.h1	2737514	25317	21361	4	AFR	2784191
HG03579.h2	1754434	13360	20991	4	AFR	1788784
HG03683.h2	3048148	59542	22312	3	SAS	3130001
HG03683.h1	3344337	47425	13133	3	SAS	3404894
HG03710.h2	4105320	59396	17294	3	SAS	4182009
HG03732.h2	3862659	68861	19207	3	SAS	3950726
HG03807.h2	4395384	81157	17177	3	SAS	4493717
HG03807.h1	3173496	88663	13129	2	SAS	3275287
HG03927.h2	3792657	46243	10501	3	SAS	3849400
HG03927.h1	2647016	34754	31996	2	SAS	2713765
HG04036.h2	3728782	68462	35953	2	SAS	3833196
HG04036.h1	3426581	70369	21214	3	SAS	3518163
HG04217.h2	3144719	52584	27087	2	SAS	3224389
HG04228.h2	2955502	48454	31586	2	SAS	3035541
NA12329.h2	2850591	47088	27278	2	EUR	2924956
NA12329.h1	4383028	67778	17047	3	EUR	4467852
NA18534.h2	3327645	61803	27623	2	EAS	3417070
NA18939.h2	3934562	59758	25070	3	EAS	4019389
NA18989.h2	2581183	36111	25030	2	EAS	2642323
NA19036.h2	2241880	20073	35279	1	AFR	2297231
NA19036.h1	2957622	29966	39646	4	AFR	3027233
NA19129.h2	2951427	24148	23189	4	AFR	2998763
NA19129.h1	2205030	54044	30591	4	AFR	2289664
NA19238.h2	2651149	43755	58890	1	AFR	2753793
NA19238.h1	2920570	37859	17288	4	AFR	2975716
NA19239.h2	2581182	35172	48901	1	AFR	2665254
NA19317.h2	3210592	35464	23224	4	AFR	3269279
NA19331.h2	2809485	49530	9370	4	AFR	2868384
NA19347.h2	3381564	57290	10531	4	AFR	3449384
NA19384.h2	2054693	4794	17132	4	AFR	2076618
NA19650.h2	3074881	55481	13104	3	AMR	3143465
NA19705.h2	2480469	15404	20990	4	AFR	2516862
NA19983.h2	3064595	32680	55653	4	AFR	3152927
NA19983.h1	2887775	16268	29193	4	AFR	2933235
NA20355.h2	2540034	47701	56664	1	AFR	2644398
NA20355.h1	3212634	27059	29116	4	AFR	3268808
NA20509.h2	3432671	51320	14855	4	EUR	3498845
NA20847.h1	3187887	57550	29004	2	SAS	3274440
NA21487.h2	3150839	59266	26717	2	AFR	3236821
NA21487.h1	2569053	19680	37402	4	AFR	2626134
