Haplotype	7-mer	8-mer	11-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02587.h2	521411	599482	637025	1706	19521	44389	6	AFR	1823533
HG02587.h1	314982	290103	375399	52484	48060	27371	8	AFR	1108398
HG02615.h2	818539	1171795	534237	69408	70586	52584	4	AFR	2717148
HG02615.h1	656153	1003305	947072	0	112122	33250	2	AFR	2751901
HG02622.h2	781547	992940	435230	132034	79577	48590	4	AFR	2469917
HG02630.h2	289933	418919	855557	3386	77991	35133	2	AFR	1680918
HG02647.h2	287536	404004	631414	1693	72232	31455	2	AFR	1428333
HG02647.h1	548791	669852	752863	0	42949	35865	5	AFR	2050319
HG02666.h2	515577	631838	1003152	0	59235	30581	3	AFR	2240382
HG02666.h1	523865	652153	1036798	0	47530	32485	3	AFR	2292830
HG02717.h1	689670	930625	590282	106656	66703	42030	4	AFR	2425965
HG02723.h1	403254	795850	1236642	0	198404	45982	2	AFR	2680131
HG02769.h2	702702	1377482	1171191	1697	213313	38643	2	AFR	3505027
HG02769.h1	434306	501854	375553	1706	12899	44409	6	AFR	1370726
HG02809.h1	703831	718657	465211	1706	36362	33541	5	AFR	1959307
HG02886.h1	557184	781737	582831	101580	60426	42036	4	AFR	2125793
HG02953.h2	742274	851491	1062982	0	61277	33633	3	AFR	2751656
HG02953.h1	693256	931959	655653	132052	64656	42037	4	AFR	2519612
HG03009.h2	774206	793223	491378	0	23646	41935	5	SAS	2124387
HG03009.h1	1025909	931528	607204	1706	29931	41731	5	SAS	2638008
HG03065.h2	529839	595918	523008	104962	65289	33155	4	AFR	1852170
HG03248.h2	516627	607638	562327	1706	21727	48115	6	AFR	1758139
HG03248.h1	640682	859720	1281463	1694	32960	49083	7	AFR	2865601
HG03371.h2	439058	991008	963920	0	41537	35612	1	AFR	2471134
HG03371.h1	69153	1687702	1227288	1699	38882	40684	5	AFR	3065407
HG03452.h2	711149	960423	620166	133743	65171	42040	4	AFR	2532691
HG03452.h1	592953	802689	1057260	1693	155687	38834	2	AFR	2649115
HG03453.h1	831709	981793	919189	1693	53110	13761	6	AFR	2801254
HG03456.h2	680132	614067	1156219	208236	190428	34178	8	AFR	2883259
HG03486.h2	830466	1197536	541702	62636	70762	52587	4	AFR	2755688
HG03492.h2	423563	608766	778913	0	131797	37270	2	SAS	1980308
HG03516.h2	709958	923860	631377	142207	69586	39078	4	AFR	2516065
HG03520.h2	698011	941470	580946	126971	68736	42035	4	AFR	2458168
HG03520.h1	683810	780980	788320	0	61432	30581	3	AFR	2345122
HG03579.h2	753872	874563	665160	0	29964	40864	5	AFR	2364422
HG03579.h1	391337	919155	898507	0	33582	33812	1	AFR	2276392
HG03683.h2	944825	1007454	517527	6824	32695	42678	5	SAS	2552002
HG03683.h1	615782	732187	984460	1693	60091	36303	3	SAS	2430515
HG03732.h2	779085	1111800	1049803	1691	168962	36851	2	SAS	3148191
HG03732.h1	517776	862321	881714	0	103624	35047	2	SAS	2400481
HG03807.h2	520294	612882	1165706	0	53288	37336	3	SAS	2389505
HG03927.h2	571509	828410	902219	0	145052	33267	2	SAS	2480456
HG04036.h2	829083	835258	405429	3412	18887	36097	5	SAS	2128165
HG04217.h2	564333	817582	973236	3395	161515	36855	2	SAS	2556915
HG04228.h2	703816	417617	500719	10236	26390	44490	5	SAS	1703267
HG04228.h1	300681	454175	861145	0	95173	36853	2	SAS	1748026
NA12329.h2	786094	771524	524976	1706	25490	40865	5	EUR	2150654
NA12329.h1	655013	1069744	988177	0	134001	36853	2	EUR	2883787
NA18534.h2	584494	489498	411036	1706	22811	46988	5	EAS	1556532
NA18906.h1	374639	553155	820095	1693	89202	33269	2	AFR	1872052
NA18939.h2	820722	865067	513811	0	26028	39996	5	EAS	2265623
NA18939.h1	1023542	1041366	627753	1706	27212	47945	5	EAS	2769523
NA18989.h2	372248	592471	990072	0	95851	38662	2	EAS	2089303
NA18989.h1	367479	558586	934017	0	87020	36852	2	EAS	1983953
NA19036.h2	336449	437651	551109	142211	66680	31452	8	AFR	1565551
NA19036.h1	646650	1104954	948995	1697	140399	36872	2	AFR	2879566
NA19129.h2	424734	778204	786465	0	111589	36853	2	AFR	2137844
NA19129.h1	544065	980298	889227	0	118219	36853	2	AFR	2568661
NA19238.h2	496319	893483	610850	0	93438	33264	2	AFR	2127353
NA19238.h1	707569	953679	622034	135435	68226	43228	4	AFR	2530170
NA19239.h2	649044	958592	861148	3390	96008	36872	2	AFR	2605053
NA19239.h1	415202	658904	820062	1693	80032	33271	2	AFR	2009163
NA19317.h2	974892	1331223	627599	132047	57846	42035	4	AFR	3165641
NA19317.h1	744452	1233792	1453316	3394	185521	40444	2	AFR	3660918
NA19331.h2	344806	545008	784579	1693	82580	33265	2	AFR	1791930
NA19331.h1	377036	566709	870501	1693	93257	33268	2	AFR	1942463
NA19347.h2	431957	485398	881682	0	45318	30587	3	AFR	1874941
NA19384.h1	411634	486740	1236631	0	30229	50612	7	AFR	2215845
NA19650.h2	1041388	965442	597884	3412	36257	57589	5	AMR	2701971
NA19650.h1	870798	787820	450269	1706	27738	34742	5	AMR	2173072
NA19705.h2	755277	1063362	575329	74487	65853	51367	4	AFR	2585674
NA19705.h1	317373	481290	863047	1693	89534	33265	2	AFR	1786201
NA19836.h2	628654	368825	515641	3412	27546	40251	5	AFR	1584328
NA19836.h1	793411	1374733	1217917	0	130099	37575	2	AFR	3553734
NA19983.h2	544031	1211986	967591	0	41523	36953	1	AFR	2802083
NA19983.h1	589467	677941	696812	1699	48883	30584	3	AFR	2045385
NA20355.h2	566735	678187	575404	1706	19521	48099	6	AFR	1889651
NA20509.h2	800450	813565	663277	5118	35870	38338	5	EUR	2356617
NA20509.h1	214765	311824	853682	0	86018	38690	2	EUR	1504978
NA20847.h2	504691	751092	891047	0	106699	38652	2	SAS	2292180
NA20847.h1	521444	577635	700606	0	43258	30584	3	SAS	1873526
NA21487.h2	495165	601818	373593	89725	65343	37736	8	AFR	1663379
